metro,2019_rate,2020_rate,change,rank
"Salt Lake City, UT Metropolitan Statistical Area",2.5,5.1,2.6,1
"Birmingham-Hoover, AL Metropolitan Statistical Area",2.7,5.5,2.8,2
"Jacksonville, FL Metropolitan Statistical Area",3.3,6.2,2.9,3
"Kansas City, MO-KS Metropolitan Statistical Area",3.3,6.2,2.9,3
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",3.7,6.7,3,5
"Raleigh, NC Metropolitan Statistical Area",3.4,6.4,3,5
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",3.5,6.6,3.1,7
"Oklahoma City, OK Metropolitan Statistical Area",2.9,6.1,3.2,8
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",4.2,7.4,3.2,8
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",3.7,7,3.3,10
"Columbus, OH Metropolitan Statistical Area",3.6,7,3.4,11
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",3.4,6.9,3.5,12
"Austin-Round Rock, TX Metropolitan Statistical Area",2.7,6.2,3.5,12
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",2.9,6.4,3.5,12
"St. Louis, MO-IL Metropolitan Statistical Area(1)",3.2,6.7,3.5,12
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",3,6.5,3.5,12
"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",3.5,7.1,3.6,17
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",2.9,6.6,3.7,18
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",3.5,7.3,3.8,19
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",3.3,7.1,3.8,19
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",3.4,7.2,3.8,19
"Richmond, VA Metropolitan Statistical Area",2.8,6.7,3.9,22
"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",3.6,7.7,4.1,23
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",3,7.1,4.1,23
"Rochester, NY Metropolitan Statistical Area",4,8.2,4.2,25
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",3.1,7.3,4.2,25
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",2.6,6.9,4.3,27
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",3.5,7.8,4.3,27
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",2.6,7.1,4.5,29
"Memphis, TN-MS-AR Metropolitan Statistical Area",4.2,8.8,4.6,30
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",3.8,8.6,4.8,31
"Pittsburgh, PA Metropolitan Statistical Area",4.4,9.2,4.8,31
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",2.6,7.5,4.9,33
"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",3.7,8.7,5,34
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",3.1,8.1,5,34
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",4.1,9.2,5.1,36
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",3,8.2,5.2,37
"New Orleans-Metairie, LA Metropolitan Statistical Area",4.3,9.7,5.4,38
"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",2.7,8.1,5.4,38
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",4.2,9.7,5.5,40
"Cleveland-Elyria, OH Metropolitan Statistical Area",4.1,9.7,5.6,41
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",4.1,9.7,5.6,41
"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",2.7,8.5,5.8,43
"Providence-Warwick, RI-MA Metropolitan NECTA",3.6,9.5,5.9,44
"San Diego-Carlsbad, CA Metropolitan Statistical Area",3.3,9.2,5.9,44
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",3.9,9.9,6,46
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",3.6,10.4,6.8,47
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",3.2,10.2,7,48
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",4.4,11.7,7.3,49
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",4.2,11.8,7.6,50
"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",4.1,14.7,10.6,51
