State,Rptdate,PUA_IC,Reflect_Date,PUA_CC,PEUC_CC
KY,2020-04-04,0,2020-03-28,0,0
OH,2020-04-04,0,2020-03-28,0,0
WV,2020-04-04,0,2020-03-28,0,0
KY,2020-04-11,0,2020-04-04,0,0
OH,2020-04-11,0,2020-04-04,0,0
WV,2020-04-11,0,2020-04-04,0,0
KY,2020-04-18,0,2020-04-11,0,34
OH,2020-04-18,0,2020-04-11,0,0
WV,2020-04-18,0,2020-04-11,0,2
KY,2020-04-25,0,2020-04-18,0,3960
OH,2020-04-25,0,2020-04-18,0,0
WV,2020-04-25,0,2020-04-18,0,16
KY,2020-05-02,0,2020-04-25,4700,4752
OH,2020-05-02,0,2020-04-25,0,0
WV,2020-05-02,0,2020-04-25,0,15
KY,2020-05-09,0,2020-05-02,0,2179
OH,2020-05-09,0,2020-05-02,0,5102
WV,2020-05-09,0,2020-05-02,0,0
KY,2020-05-16,0,2020-05-09,0,7600
OH,2020-05-16,134468,2020-05-09,592141,8356
WV,2020-05-16,0,2020-05-09,0,5550
KY,2020-05-23,0,2020-05-16,0,5768
OH,2020-05-23,44158,2020-05-16,615968,11024
WV,2020-05-23,0,2020-05-16,0,3776
KY,2020-05-30,0,2020-05-23,0,6392
OH,2020-05-30,30381,2020-05-23,439430,12371
WV,2020-05-30,0,2020-05-23,0,3689
KY,2020-06-06,0,2020-05-30,0,6555
OH,2020-06-06,40133,2020-05-30,562418,13899
WV,2020-06-06,0,2020-05-30,0,3915
KY,2020-06-13,3620,2020-06-06,59692,7027
OH,2020-06-13,57760,2020-06-06,815459,15066
WV,2020-06-13,0,2020-06-06,0,4149
KY,2020-06-20,3775,2020-06-13,41173,7214
OH,2020-06-20,85597,2020-06-13,1193835,15653
WV,2020-06-20,0,2020-06-13,0,4256
KY,2020-06-27,3892,2020-06-20,56959,7549
OH,2020-06-27,50064,2020-06-20,598238,16702
WV,2020-06-27,0,2020-06-20,0,4487
KY,2020-07-04,2950,2020-06-27,36848,7820
OH,2020-07-04,48532,2020-06-27,438320,17113
WV,2020-07-04,0,2020-06-27,0,4641
KY,2020-07-11,2586,2020-07-04,56969,8282
OH,2020-07-11,92636,2020-07-04,412034,17331
WV,2020-07-11,0,2020-07-04,0,4641
KY,2020-07-18,2956,2020-07-11,32478,8509
OH,2020-07-18,72584,2020-07-11,414213,17338
WV,2020-07-18,0,2020-07-11,0,4173
KY,2020-07-25,2936,2020-07-18,57783,6883
OH,2020-07-25,56600,2020-07-18,365235,18749
WV,2020-07-25,0,2020-07-18,0,4435
KY,2020-08-01,2964,2020-07-25,20425,7610
OH,2020-08-01,42249,2020-07-25,319350,18753
WV,2020-08-01,0,2020-07-25,0,1230
KY,2020-08-08,1928,2020-08-01,51597,6254
OH,2020-08-08,12719,2020-08-01,410831,17981
WV,2020-08-08,0,2020-08-01,0,4892
KY,2020-08-15,2454,2020-08-08,29485,6145
OH,2020-08-15,14963,2020-08-08,400193,17181
WV,2020-08-15,0,2020-08-08,0,4758
