State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Kentucky,2020-01-04,5175,2019-12-28,22515,1890475,1.19
Kentucky,2020-01-11,3968,2020-01-04,25124,1890475,1.33
Kentucky,2020-01-18,3084,2020-01-11,24066,1890475,1.27
Kentucky,2020-01-25,2569,2020-01-18,22874,1890475,1.21
Kentucky,2020-02-01,2625,2020-01-25,23219,1890475,1.23
Kentucky,2020-02-08,2936,2020-02-01,22937,1890475,1.21
Kentucky,2020-02-15,2813,2020-02-08,23076,1890475,1.22
Kentucky,2020-02-22,2508,2020-02-15,22623,1890475,1.2
Kentucky,2020-02-29,2223,2020-02-22,23733,1890475,1.26
Kentucky,2020-03-07,2463,2020-02-29,22770,1890475,1.2
Kentucky,2020-03-14,2785,2020-03-07,22940,1890475,1.21
Kentucky,2020-03-21,49023,2020-03-14,22328,1890475,1.18
Kentucky,2020-03-28,113149,2020-03-21,24361,1890475,1.29
Kentucky,2020-04-04,117575,2020-03-28,130151,1890475,6.88
Kentucky,2020-04-11,116277,2020-04-04,182097,1893451,9.62
Kentucky,2020-04-18,103981,2020-04-11,199030,1893451,10.51
Kentucky,2020-04-25,91223,2020-04-18,260662,1893451,13.77
Kentucky,2020-05-02,69372,2020-04-25,256200,1893451,13.53
Kentucky,2020-05-09,69372,2020-05-02,253186,1893451,13.37
Kentucky,2020-05-16,47321,2020-05-09,246575,1893451,13.02
Kentucky,2020-05-23,54023,2020-05-16,245804,1893451,12.98
Kentucky,2020-05-30,43013,2020-05-23,205804,1893451,10.87
Kentucky,2020-06-06,40733,2020-05-30,197472,1893451,10.43
Kentucky,2020-06-13,37650,2020-06-06,180952,1893451,9.56
Kentucky,2020-06-20,24846,2020-06-13,171917,1893451,9.08
Kentucky,2020-06-27,30640,2020-06-20,159343,1893451,8.42
Kentucky,2020-07-04,23282,2020-06-27,150522,1893451,7.95
Kentucky,2020-07-11,24544,2020-07-04,158381,1896673,8.35
Kentucky,2020-07-18,24488,2020-07-11,145825,1896673,7.69
Kentucky,2020-07-25,21041,2020-07-18,141055,1896673,7.44
Kentucky,2020-08-01,21020,2020-07-25,136509,1896673,7.2
Kentucky,2020-08-08,17465,2020-08-01,141583,1896673,7.46
Kentucky,2020-08-15,18266,2020-08-08,128187,1896673,6.76
Kentucky,2020-08-22,16321,2020-08-15,127603,1896673,6.73
Kentucky,2020-08-29,16504,2020-08-22,116383,1896673,6.14
Kentucky,2020-09-05,9285,2020-08-29,119639,1896673,6.31
Kentucky,2020-09-12,8672,2020-09-05,106835,1896673,5.63
Kentucky,2020-09-19,8413,2020-09-12,112884,1896673,5.95
Kentucky,2020-09-26,7520,2020-09-19,100938,1896673,5.32
Kentucky,2020-10-03,5687,2020-09-26,94187,1896673,4.97
Kentucky,2020-10-10,5969,2020-10-03,80246,1899546,4.22
Kentucky,2020-10-17,5951,2020-10-10,73637,1899546,3.88
Kentucky,2020-10-24,5325,2020-10-17,61867,1899546,3.26
Kentucky,2020-10-31,9193,2020-10-24,58831,1899546,3.1
Kentucky,2020-11-07,4363,2020-10-31,50778,1899546,2.67
Kentucky,2020-11-14,8133,2020-11-07,51714,1899546,2.72
Kentucky,2020-11-21,10983,2020-11-14,44098,1899546,2.32
Kentucky,2020-11-28,9319,2020-11-21,44141,1899546,2.32
Kentucky,2020-12-05,8168,2020-11-28,46877,1899546,2.47
Kentucky,2020-12-12,7259,2020-12-05,47531,1899546,2.5
Kentucky,2020-12-19,8459,2020-12-12,46950,1899546,2.47
Kentucky,2020-12-26,12800,2020-12-19,41834,1899546,2.2
Kentucky,2021-01-02,16941,2020-12-26,40437,1899546,2.13
Kentucky,2021-01-09,11399,2021-01-02,44207,1843088,2.4
Kentucky,2021-01-16,11932,2021-01-09,42642,1843088,2.31
