county_code,county_name,year,labor_force,Employed,unemployed,unemployment_rate
21001,"Adair County, KY",2020,"6,961","6,460",501,7.2
21003,"Allen County, KY",2020,"8,732","8,256",476,5.5
21005,"Anderson County, KY",2020,"11,752","11,034",718,6.1
21007,"Ballard County, KY",2020,"3,356","3,134",222,6.6
21009,"Barren County, KY",2020,"18,195","16,829","1,366",7.5
21011,"Bath County, KY",2020,"4,561","4,182",379,8.3
21013,"Bell County, KY",2020,"8,248","7,606",642,7.8
21015,"Boone County, KY",2020,"70,071","66,280","3,791",5.4
21017,"Bourbon County, KY",2020,"9,577","9,016",561,5.9
21019,"Boyd County, KY",2020,"17,551","16,086","1,465",8.3
21021,"Boyle County, KY",2020,"12,540","11,618",922,7.4
21023,"Bracken County, KY",2020,"3,744","3,511",233,6.2
21025,"Breathitt County, KY",2020,"3,285","2,949",336,10.2
21027,"Breckinridge County, KY",2020,"7,846","7,274",572,7.3
21029,"Bullitt County, KY",2020,"42,031","39,359","2,672",6.4
21031,"Butler County, KY",2020,"4,961","4,619",342,6.9
21033,"Caldwell County, KY",2020,"5,570","5,224",346,6.2
21035,"Calloway County, KY",2020,"17,865","16,752","1,113",6.2
21037,"Campbell County, KY",2020,"49,647","46,886","2,761",5.6
21039,"Carlisle County, KY",2020,"2,168","2,066",102,4.7
21041,"Carroll County, KY",2020,"5,289","4,978",311,5.9
21043,"Carter County, KY",2020,"9,586","8,663",923,9.6
21045,"Casey County, KY",2020,"6,666","6,250",416,6.2
21047,"Christian County, KY",2020,"24,587","22,662","1,925",7.8
21049,"Clark County, KY",2020,"17,006","15,891","1,115",6.6
21051,"Clay County, KY",2020,"5,199","4,751",448,8.6
21053,"Clinton County, KY",2020,"3,978","3,776",202,5.1
21055,"Crittenden County, KY",2020,"3,663","3,460",203,5.5
21057,"Cumberland County, KY",2020,"3,271","3,112",159,4.9
21059,"Daviess County, KY",2020,"45,710","42,911","2,799",6.1
21061,"Edmonson County, KY",2020,"4,599","4,247",352,7.7
21063,"Elliott County, KY",2020,"1,967","1,769",198,10.1
21065,"Estill County, KY",2020,"5,153","4,766",387,7.5
21067,"Fayette County, KY",2020,"172,284","162,405","9,879",5.7
21069,"Fleming County, KY",2020,"6,135","5,686",449,7.3
