state,period,unemployment_rate
KY,2011-01,9.8
KY,2011-02,9.6
KY,2011-03,9.5
KY,2011-04,9.5
KY,2011-05,9.5
KY,2011-06,9.5
KY,2011-07,9.5
KY,2011-08,9.4
KY,2011-09,9.3
KY,2011-10,9.2
KY,2011-11,9
KY,2011-12,8.7
KY,2012-01,8.5
KY,2012-02,8.4
KY,2012-03,8.2
KY,2012-04,8.2
KY,2012-05,8.2
KY,2012-06,8.2
KY,2012-07,8.2
KY,2012-08,8.2
KY,2012-09,8.1
KY,2012-10,8.1
KY,2012-11,8.1
KY,2012-12,8
KY,2013-01,8
KY,2013-02,8
KY,2013-03,8
KY,2013-04,8
KY,2013-05,8
KY,2013-06,8
KY,2013-07,8
KY,2013-08,8
KY,2013-09,7.9
KY,2013-10,7.8
KY,2013-11,7.7
KY,2013-12,7.6
KY,2014-01,7.5
KY,2014-02,7.3
KY,2014-03,7.2
KY,2014-04,7
KY,2014-05,6.7
KY,2014-06,6.5
KY,2014-07,6.3
KY,2014-08,6
KY,2014-09,5.9
KY,2014-10,5.7
KY,2014-11,5.5
KY,2014-12,5.4
KY,2015-01,5.3
KY,2015-02,5.3
KY,2015-03,5.3
KY,2015-04,5.3
KY,2015-05,5.2
KY,2015-06,5.2
KY,2015-07,5.2
KY,2015-08,5.2
KY,2015-09,5.2
KY,2015-10,5.2
KY,2015-11,5.2
KY,2015-12,5.2
KY,2016-01,5.2
KY,2016-02,5.1
KY,2016-03,5.1
KY,2016-04,5
KY,2016-05,4.9
KY,2016-06,4.9
KY,2016-07,4.9
KY,2016-08,5
KY,2016-09,5
KY,2016-10,5.1
KY,2016-11,5.1
KY,2016-12,5.1
KY,2017-01,5.1
KY,2017-02,5
KY,2017-03,5
KY,2017-04,5
KY,2017-05,4.9
KY,2017-06,4.9
KY,2017-07,4.8
KY,2017-08,4.7
KY,2017-09,4.6
KY,2017-10,4.5
KY,2017-11,4.4
KY,2017-12,4.3
KY,2018-01,4.2
KY,2018-02,4.2
KY,2018-03,4.2
KY,2018-04,4.2
KY,2018-05,4.2
KY,2018-06,4.2
KY,2018-07,4.2
KY,2018-08,4.2
KY,2018-09,4.2
KY,2018-10,4.2
KY,2018-11,4.2
KY,2018-12,4.2
KY,2019-01,4.2
KY,2019-02,4.2
KY,2019-03,4.1
KY,2019-04,4.1
KY,2019-05,4.1
KY,2019-06,4.1
KY,2019-07,4.1
KY,2019-08,4.1
KY,2019-09,4.1
KY,2019-10,4.1
KY,2019-11,4.1
KY,2019-12,4.1
KY,2020-01,4.1
KY,2020-02,4.2
KY,2020-03,4.2
KY,2020-04,16.9
KY,2020-05,10.9
KY,2020-06,5.7
KY,2020-07,5.6
KY,2020-08,5.5
KY,2020-09,5.5
KY,2020-10,5.5
KY,2020-11,5.6
KY,2020-12,5.6
KY,2021-01,5.3
KY,2021-02,5.2
KY,2021-03,5
KY,2021-04,4.7
KY,2021-05,4.5
OH,2011-01,9.3
OH,2011-02,9.1
OH,2011-03,9
OH,2011-04,9
OH,2011-05,9
OH,2011-06,9
OH,2011-07,9
OH,2011-08,8.9
OH,2011-09,8.7
OH,2011-10,8.5
OH,2011-11,8.3
OH,2011-12,8
OH,2012-01,7.8
OH,2012-02,7.7
OH,2012-03,7.6
OH,2012-04,7.5
OH,2012-05,7.4
OH,2012-06,7.3
OH,2012-07,7.3
OH,2012-08,7.2
OH,2012-09,7.2
OH,2012-10,7.2
OH,2012-11,7.3
OH,2012-12,7.4
OH,2013-01,7.5
OH,2013-02,7.6
OH,2013-03,7.6
OH,2013-04,7.6
OH,2013-05,7.6
OH,2013-06,7.6
OH,2013-07,7.6
OH,2013-08,7.6
OH,2013-09,7.5
OH,2013-10,7.3
OH,2013-11,7.1
OH,2013-12,6.9
OH,2014-01,6.6
OH,2014-02,6.4
OH,2014-03,6.2
OH,2014-04,6
OH,2014-05,5.9
OH,2014-06,5.8
OH,2014-07,5.7
OH,2014-08,5.6
OH,2014-09,5.5
OH,2014-10,5.4
OH,2014-11,5.3
OH,2014-12,5.2
OH,2015-01,5.2
OH,2015-02,5.2
OH,2015-03,5.2
OH,2015-04,5.1
OH,2015-05,5
OH,2015-06,4.9
OH,2015-07,4.8
OH,2015-08,4.8
OH,2015-09,4.7
OH,2015-10,4.8
OH,2015-11,4.8
OH,2015-12,4.9
OH,2016-01,5
OH,2016-02,5
OH,2016-03,5
OH,2016-04,5
OH,2016-05,5
OH,2016-06,5
OH,2016-07,5
OH,2016-08,5
OH,2016-09,5.1
OH,2016-10,5.2
OH,2016-11,5.3
OH,2016-12,5.3
OH,2017-01,5.2
OH,2017-02,5.2
OH,2017-03,5.1
OH,2017-04,5.1
OH,2017-05,5
OH,2017-06,5
OH,2017-07,5
OH,2017-08,5
OH,2017-09,4.9
OH,2017-10,4.8
OH,2017-11,4.7
OH,2017-12,4.6
OH,2018-01,4.5
OH,2018-02,4.5
OH,2018-03,4.5
OH,2018-04,4.5
OH,2018-05,4.6
OH,2018-06,4.5
OH,2018-07,4.5
OH,2018-08,4.5
OH,2018-09,4.5
OH,2018-10,4.5
OH,2018-11,4.5
OH,2018-12,4.4
OH,2019-01,4.3
OH,2019-02,4.2
OH,2019-03,4.1
OH,2019-04,4
OH,2019-05,4
OH,2019-06,4.1
OH,2019-07,4.2
OH,2019-08,4.2
OH,2019-09,4.2
OH,2019-10,4.2
OH,2019-11,4.2
OH,2019-12,4.3
OH,2020-01,4.5
OH,2020-02,4.7
OH,2020-03,4.9
OH,2020-04,16.4
OH,2020-05,14.9
OH,2020-06,10.3
OH,2020-07,9.3
OH,2020-08,9
OH,2020-09,7.4
OH,2020-10,5.6
OH,2020-11,5.6
OH,2020-12,5.6
OH,2021-01,5.3
OH,2021-02,5
OH,2021-03,4.7
OH,2021-04,4.7
OH,2021-05,5
WV,2011-01,8.4
WV,2011-02,8.3
WV,2011-03,8.1
WV,2011-04,8
WV,2011-05,7.9
WV,2011-06,7.8
WV,2011-07,7.8
WV,2011-08,7.8
WV,2011-09,7.7
WV,2011-10,7.5
WV,2011-11,7.4
WV,2011-12,7.2
WV,2012-01,7.1
WV,2012-02,7
WV,2012-03,7.1
WV,2012-04,7.2
WV,2012-05,7.3
WV,2012-06,7.4
WV,2012-07,7.4
WV,2012-08,7.4
WV,2012-09,7.4
WV,2012-10,7.3
WV,2012-11,7.3
WV,2012-12,7.2
WV,2013-01,7.1
WV,2013-02,6.9
WV,2013-03,6.8
WV,2013-04,6.7
WV,2013-05,6.6
WV,2013-06,6.6
WV,2013-07,6.6
WV,2013-08,6.6
WV,2013-09,6.6
WV,2013-10,6.7
WV,2013-11,6.7
WV,2013-12,6.7
WV,2014-01,6.7
WV,2014-02,6.7
WV,2014-03,6.7
WV,2014-04,6.6
WV,2014-05,6.5
WV,2014-06,6.5
WV,2014-07,6.4
WV,2014-08,6.4
WV,2014-09,6.4
WV,2014-10,6.4
WV,2014-11,6.3
WV,2014-12,6.4
WV,2015-01,6.4
WV,2015-02,6.5
WV,2015-03,6.7
WV,2015-04,6.8
WV,2015-05,6.8
WV,2015-06,6.8
WV,2015-07,6.7
WV,2015-08,6.6
WV,2015-09,6.5
WV,2015-10,6.4
WV,2015-11,6.4
WV,2015-12,6.4
WV,2016-01,6.4
WV,2016-02,6.3
WV,2016-03,6.3
WV,2016-04,6.2
WV,2016-05,6.2
WV,2016-06,6.2
WV,2016-07,6.1
WV,2016-08,6.1
WV,2016-09,6
WV,2016-10,5.9
WV,2016-11,5.8
WV,2016-12,5.6
WV,2017-01,5.4
WV,2017-02,5.3
WV,2017-03,5.1
WV,2017-04,5.1
WV,2017-05,5
WV,2017-06,5.1
WV,2017-07,5.1
WV,2017-08,5.2
WV,2017-09,5.3
WV,2017-10,5.3
WV,2017-11,5.4
WV,2017-12,5.4
WV,2018-01,5.4
WV,2018-02,5.4
WV,2018-03,5.4
WV,2018-04,5.4
WV,2018-05,5.3
WV,2018-06,5.2
WV,2018-07,5.1
WV,2018-08,5
WV,2018-09,5
WV,2018-10,5
WV,2018-11,5.1
WV,2018-12,5.1
WV,2019-01,5
WV,2019-02,5
WV,2019-03,4.9
WV,2019-04,4.8
WV,2019-05,4.8
WV,2019-06,4.8
WV,2019-07,4.9
WV,2019-08,4.9
WV,2019-09,5
WV,2019-10,4.9
WV,2019-11,4.9
WV,2019-12,4.9
WV,2020-01,5
WV,2020-02,5.1
WV,2020-03,5.3
WV,2020-04,15.6
WV,2020-05,11.9
WV,2020-06,10.5
WV,2020-07,9.4
WV,2020-08,8.5
WV,2020-09,7.9
WV,2020-10,7.4
WV,2020-11,7
WV,2020-12,6.7
WV,2021-01,6.5
WV,2021-02,6.2
WV,2021-03,5.9
WV,2021-04,5.8
WV,2021-05,5.5
US,2011-01,9.1
US,2011-02,9
US,2011-03,9
US,2011-04,9.1
US,2011-05,9
US,2011-06,9.1
US,2011-07,9
US,2011-08,9
US,2011-09,9
US,2011-10,8.8
US,2011-11,8.6
US,2011-12,8.5
US,2012-01,8.3
US,2012-02,8.3
US,2012-03,8.2
US,2012-04,8.2
US,2012-05,8.2
US,2012-06,8.2
US,2012-07,8.2
US,2012-08,8.1
US,2012-09,7.8
US,2012-10,7.8
US,2012-11,7.7
US,2012-12,7.9
US,2013-01,8
US,2013-02,7.7
US,2013-03,7.5
US,2013-04,7.6
US,2013-05,7.5
US,2013-06,7.5
US,2013-07,7.3
US,2013-08,7.2
US,2013-09,7.2
US,2013-10,7.2
US,2013-11,6.9
US,2013-12,6.7
US,2014-01,6.6
US,2014-02,6.7
US,2014-03,6.7
US,2014-04,6.2
US,2014-05,6.3
US,2014-06,6.1
US,2014-07,6.2
US,2014-08,6.1
US,2014-09,5.9
US,2014-10,5.7
US,2014-11,5.8
US,2014-12,5.6
US,2015-01,5.7
US,2015-02,5.5
US,2015-03,5.4
US,2015-04,5.4
US,2015-05,5.6
US,2015-06,5.3
US,2015-07,5.2
US,2015-08,5.1
US,2015-09,5
US,2015-10,5
US,2015-11,5.1
US,2015-12,5
US,2016-01,4.8
US,2016-02,4.9
US,2016-03,5
US,2016-04,5.1
US,2016-05,4.8
US,2016-06,4.9
US,2016-07,4.8
US,2016-08,4.9
US,2016-09,5
US,2016-10,4.9
US,2016-11,4.7
US,2016-12,4.7
US,2017-01,4.7
US,2017-02,4.6
US,2017-03,4.4
US,2017-04,4.5
US,2017-05,4.4
US,2017-06,4.3
US,2017-07,4.3
US,2017-08,4.4
US,2017-09,4.2
US,2017-10,4.1
US,2017-11,4.2
US,2017-12,4.1
US,2018-01,4
US,2018-02,4.1
US,2018-03,4
US,2018-04,4
US,2018-05,3.8
US,2018-06,4
US,2018-07,3.8
US,2018-08,3.8
US,2018-09,3.7
US,2018-10,3.8
US,2018-11,3.8
US,2018-12,3.9
US,2019-01,4
US,2019-02,3.8
US,2019-03,3.8
US,2019-04,3.7
US,2019-05,3.7
US,2019-06,3.6
US,2019-07,3.6
US,2019-08,3.7
US,2019-09,3.5
US,2019-10,3.6
US,2019-11,3.6
US,2019-12,3.6
US,2020-01,3.5
US,2020-02,3.5
US,2020-03,4.4
US,2020-04,14.8
US,2020-05,13.3
US,2020-06,11.1
US,2020-07,10.2
US,2020-08,8.4
US,2020-09,7.8
US,2020-10,6.9
US,2020-11,6.7
US,2020-12,6.7
US,2021-01,6.3
US,2021-02,6.2
US,2021-03,6
US,2021-04,6.1
US,2021-05,5.8
